501
0
abdata/list/characustom/3dh9527_newmakerposes.csv
ID,Kind,Possess,Name,EN_US,ZH_CN,ZH_TW,MainManifest,MainAB,MainData,Clip,IKAB,IKData
1,1,1,ポーズ01,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Joy,adv/action_ik/30.unity3d,adv_f_00
2,1,1,ポーズ01,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Anger,adv/action_ik/30.unity3d,adv_f_00
3,1,1,ポーズ01,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Sorrow,adv/action_ik/30.unity3d,adv_f_00
4,1,1,ポーズ01,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Shame,adv/action_ik/30.unity3d,adv_f_00
5,1,1,ポーズ01,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Dependence,adv/action_ik/30.unity3d,adv_f_00
6,1,1,ポーズ02,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_01,Joy,adv/action_ik/30.unity3d,adv_f_01
7,1,1,ポーズ02,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_01,Anger,adv/action_ik/30.unity3d,adv_f_01
8,1,1,ポーズ02,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_01,Sorrow,adv/action_ik/30.unity3d,adv_f_01
9,1,1,ポーズ02,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_01,Shame,adv/action_ik/30.unity3d,adv_f_01
10,1,1,ポーズ02,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_01,Dependence,adv/action_ik/30.unity3d,adv_f_01
11,1,1,ポーズ03,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_02,Joy,adv/action_ik/30.unity3d,adv_f_02
12,1,1,ポーズ03,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_02,Anger,adv/action_ik/30.unity3d,adv_f_02
13,1,1,ポーズ03,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_02,Sorrow,adv/action_ik/30.unity3d,adv_f_02
14,1,1,ポーズ03,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_02,Shame,adv/action_ik/30.unity3d,adv_f_02
15,1,1,ポーズ03,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_02,Dependence,adv/action_ik/30.unity3d,adv_f_02
16,1,1,ポーズ04,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_03,Joy,adv/action_ik/30.unity3d,adv_f_03
17,1,1,ポーズ04,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_03,Anger,adv/action_ik/30.unity3d,adv_f_03
18,1,1,ポーズ04,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_03,Sorrow,adv/action_ik/30.unity3d,adv_f_03
19,1,1,ポーズ04,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_03,Shame,adv/action_ik/30.unity3d,adv_f_03
20,1,1,ポーズ04,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_03,Dependence,adv/action_ik/30.unity3d,adv_f_03
21,1,1,ポーズ05,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_04,Joy,adv/action_ik/30.unity3d,adv_f_04
22,1,1,ポーズ05,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_04,Anger,adv/action_ik/30.unity3d,adv_f_04
23,1,1,ポーズ05,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_04,Sorrow,adv/action_ik/30.unity3d,adv_f_04
24,1,1,ポーズ05,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_04,Shame,adv/action_ik/30.unity3d,adv_f_04
25,1,1,ポーズ05,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_04,Dependence,adv/action_ik/30.unity3d,adv_f_04
26,1,1,ポーズ06,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_05,Joy,adv/action_ik/30.unity3d,adv_f_05
27,1,1,ポーズ06,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_05,Anger,adv/action_ik/30.unity3d,adv_f_05
28,1,1,ポーズ06,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_05,Sorrow,adv/action_ik/30.unity3d,adv_f_05
29,1,1,ポーズ06,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_05,Shame,adv/action_ik/30.unity3d,adv_f_05
30,1,1,ポーズ06,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_05,Dependence,adv/action_ik/30.unity3d,adv_f_05
31,1,1,ポーズ07,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_06,Joy,adv/action_ik/30.unity3d,adv_f_06
32,1,1,ポーズ07,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_06,Anger,adv/action_ik/30.unity3d,adv_f_06
33,1,1,ポーズ07,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_06,Sorrow,adv/action_ik/30.unity3d,adv_f_06
34,1,1,ポーズ07,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_06,Shame,adv/action_ik/30.unity3d,adv_f_06
35,1,1,ポーズ07,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_06,Dependence,adv/action_ik/30.unity3d,adv_f_06
36,1,1,ポーズ08,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_07,Joy,adv/action_ik/30.unity3d,adv_f_07
37,1,1,ポーズ08,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_07,Anger,adv/action_ik/30.unity3d,adv_f_07
38,1,1,ポーズ08,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_07,Sorrow,adv/action_ik/30.unity3d,adv_f_07
39,1,1,ポーズ08,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_07,Shame,adv/action_ik/30.unity3d,adv_f_07
40,1,1,ポーズ08,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_07,Dependence,adv/action_ik/30.unity3d,adv_f_07
41,1,1,ポーズ09,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_08,Joy,adv/action_ik/30.unity3d,adv_f_08
42,1,1,ポーズ09,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_08,Anger,adv/action_ik/30.unity3d,adv_f_08
43,1,1,ポーズ09,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_08,Sorrow,adv/action_ik/30.unity3d,adv_f_08
44,1,1,ポーズ09,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_08,Shame,adv/action_ik/30.unity3d,adv_f_08
45,1,1,ポーズ09,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_08,Dependence,adv/action_ik/30.unity3d,adv_f_08
46,1,1,ポーズ10,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_09,Joy,adv/action_ik/30.unity3d,adv_f_09
47,1,1,ポーズ10,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_09,Anger,adv/action_ik/30.unity3d,adv_f_09
48,1,1,ポーズ10,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_09,Sorrow,adv/action_ik/30.unity3d,adv_f_09
49,1,1,ポーズ10,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_09,Shame,adv/action_ik/30.unity3d,adv_f_09
50,1,1,ポーズ10,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_09,Dependence,adv/action_ik/30.unity3d,adv_f_09
51,1,1,ポーズ15,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_-1,adv_f_-1_Idle,adv/action_ik/30.unity3d,adv_f_-1
52,1,1,ポーズ15,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Ev_Shower_A_01,adv/action_ik/30.unity3d,adv_f_00
53,1,1,ポーズ15,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Ev_Shower_B_01,adv/action_ik/30.unity3d,adv_f_00
54,1,1,ポーズ15,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Ev_Shower_C_01,adv/action_ik/30.unity3d,adv_f_00
55,1,1,ポーズ15,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Ev_Shower_D_01,adv/action_ik/30.unity3d,adv_f_00
56,1,1,ポーズ15,0,0,0,abdata,adv/animater/female/30.unity3d,adv_f_00,Ev_Shower_E_01,adv/action_ik/30.unity3d,adv_f_00
57,1,1,ポーズ11,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_10,Idle,adv/action_ik/50.unity3d,adv_f_10
58,1,1,ポーズ11,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_10,Joy,adv/action_ik/50.unity3d,adv_f_10
59,1,1,ポーズ11,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_10,Anger,adv/action_ik/50.unity3d,adv_f_10
60,1,1,ポーズ11,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_10,Sorrow,adv/action_ik/50.unity3d,adv_f_10
61,1,1,ポーズ11,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_10,Shame,adv/action_ik/50.unity3d,adv_f_10
62,1,1,ポーズ11,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_10,Dependence,adv/action_ik/50.unity3d,adv_f_10
63,1,1,ポーズ12,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_11,Idle,adv/action_ik/50.unity3d,adv_f_11
64,1,1,ポーズ12,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_11,Joy,adv/action_ik/50.unity3d,adv_f_11
65,1,1,ポーズ12,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_11,Anger,adv/action_ik/50.unity3d,adv_f_11
66,1,1,ポーズ12,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_11,Sorrow,adv/action_ik/50.unity3d,adv_f_11
67,1,1,ポーズ12,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_11,Shame,adv/action_ik/50.unity3d,adv_f_11
68,1,1,ポーズ12,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_11,Dependence,adv/action_ik/50.unity3d,adv_f_11
69,1,1,ポーズ13,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_12,Idle,adv/action_ik/50.unity3d,adv_f_12
70,1,1,ポーズ13,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_12,Joy,adv/action_ik/50.unity3d,adv_f_12
71,1,1,ポーズ13,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_12,Anger,adv/action_ik/50.unity3d,adv_f_12
72,1,1,ポーズ13,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_12,Sorrow,adv/action_ik/50.unity3d,adv_f_12
73,1,1,ポーズ13,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_12,Shame,adv/action_ik/50.unity3d,adv_f_12
74,1,1,ポーズ13,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_12,Dependence,adv/action_ik/50.unity3d,adv_f_12
75,1,1,ポーズ14,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_13,Idle,adv/action_ik/50.unity3d,adv_f_13
76,1,1,ポーズ14,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_13,Joy,adv/action_ik/50.unity3d,adv_f_13
77,1,1,ポーズ14,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_13,Anger,adv/action_ik/50.unity3d,adv_f_13
78,1,1,ポーズ14,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_13,Sorrow,adv/action_ik/50.unity3d,adv_f_13
79,1,1,ポーズ14,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_13,Shame,adv/action_ik/50.unity3d,adv_f_13
80,1,1,ポーズ14,0,0,0,abdata,adv/animater/female/50.unity3d,adv_f_13,Dependence,adv/action_ik/50.unity3d,adv_f_13
